2-8,4-9,0-9,4-6,4-11,5-8,0-2,0-11,2-4,0-12,1-2,7-9,8-9,5-9,11-12,0-3,1-12,6-7,8-10,6-8,1-4,4-5,5-6,6-9,9-10,0-4,7-8,6-10,1-11,1-3,3-4,7-10,2-3,0-1
5.4569682106375694e-12,1.0913936421275139e-11,-1.8189894035458565e-12,7.275957614183426e-12,7.275957614183426e-12,-1.8189894035458565e-12,-1.8189894035458565e-12,34.70010187826483,-7.275957614183426e-12,-7.275957614183426e-12,-1.8189894035458565e-12,509.8190167288958,538.7522690719034,1183.5247041721377,627.4944314866243,245.94062941928314,401.9619672048648,1396.1725838956445,871.3399847167602,1193.599150435679,1415.46005161036,1484.4622804200462,1743.1882216731155,2040.5310500128453,1514.0942869253358,1488.5182174845759,2106.8224835767323,1979.0609228827961,2016.3649375726927,2261.00252704774,1549.0076617143568,1953.643031878546,2825.4690364425005,4451.434502442653
3.637978807091713e-12,0.0,0.0,3.637978807091713e-12,-7.275957614183426e-12,1.8189894035458565e-12,-3.637978807091713e-12,3.637978807091713e-12,138.93221754825572,-1.0913936421275139e-11,391.8846363876364,595.3510964386405,590.113560668884,557.039242661036,1046.25061746941,797.8454651121447,1141.2972980663799,814.3447947631921,1457.9459071556394,1733.8461743447497,1474.5730204128777,1039.7927944705843,1458.38191600939,1691.6593615057736,1590.066457036466,2330.4739288723395,2037.667233633767,2294.2494044735995,1950.825771480897,2163.236201913578,2445.669780116088,2084.2228973394413,3280.7750655240943,4664.738269433243
-3.637978807091713e-12,-3.637978807091713e-12,0.0,1.0913936421275139e-11,-7.275957614183426e-12,-1.8189894035458565e-12,0.0,279.3343638074439,3.637978807091713e-12,1135.4705145558692,266.19070159398325,449.19058482646506,73.79882853578056,1187.4829831616607,1428.0394867377945,967.7684966213965,1844.1125086160555,813.5783334272637,809.9981165845711,748.7917297889271,1240.4953021328765,1365.4129342737324,1795.771328945133,1771.277446042166,1666.5623364729836,2513.3713811219277,1927.1860742938206,1723.867686978061,2295.1389359097193,2111.6571503755567,2026.8193120472097,2249.2016395850424,2887.099005596272,4548.3813360410495
-3.637978807091713e-12,0.0,1.8189894035458565e-12,1.0913936421275139e-11,-3.637978807091713e-12,1.8189894035458565e-12,108.52177988936637,57.53453841485316,499.6212321026942,-1.0913936421275139e-11,1447.57436153844,490.3605014194254,660.7387177737255,364.1241231011063,1158.639184721531,946.291926844573,1783.6145027679977,1171.3199955977161,1244.865508942181,528.3912342413641,1264.9630898190262,1393.823490373019,1481.7895529704456,1616.2266356052132,1755.2574283556733,1892.4970204231104,1736.2239237363829,2225.5074529238827,2159.4665980211666,2100.1191696486167,2430.794807415641,2522.551343598996,3024.1162823890445,4601.64244399931
0.0,-1.4551915228366852e-11,1.8189894035458565e-12,-3.637978807091713e-12,-1.4551915228366852e-11,1.8189894035458565e-12,9.094947017729282e-12,-7.275957614183426e-12,1.0913936421275139e-11,278.40888503716997,9.094947017729282e-12,661.1803370770795,331.2594939667979,1.8189894035458565e-12,1298.1472030359218,264.825461538936,1746.0241500528628,1131.1611289086013,1358.2610446202088,1916.1059899612192,1237.0644082999825,1488.3267182472682,1598.9314207320313,1828.8729150443523,1960.2380112658193,2402.409390484685,1846.991053417245,1972.71783545781,2053.569677417947,1756.8912443263307,1864.3158868793216,2615.712504484365,3057.518802270866,4650.735565154317
-5.4569682106375694e-12,3.637978807091713e-12,-1.8189894035458565e-12,-1.4551915228366852e-11,1.8189894035458565e-11,-5.4569682106375694e-12,187.2067967158382,12.669199157346156,0.0,-1.4551915228366852e-11,-5.4569682106375694e-12,712.6846340912161,233.04206954663823,792.3712659271987,801.5104944695868,1333.280618480574,-1.4551915228366852e-11,1031.1632463775568,1358.8221491682725,2175.6089416735376,1028.2111868659813,1659.9283410993667,1305.1544505997117,1501.7689747172735,1538.8623995017388,1853.8291838662954,1419.7306919769271,2117.7459968503317,2189.260969353474,1846.5469973078434,2302.0270499217513,1600.7943446811605,2831.415138835575,4470.210061702024
-1.8189894035458565e-12,0.0,-1.8189894035458565e-12,-3.637978807091713e-12,-1.4551915228366852e-11,-3.637978807091713e-12,1.0913936421275139e-11,141.12844068328923,1.0913936421275139e-11,157.80469223510227,547.8504388386846,384.71067564580517,323.7779510624023,145.8638597084937,1217.3544290972131,741.9551997213184,849.0125098867393,1015.5828319758675,1110.7303643045743,1756.2506816798705,1364.5592445091752,1335.9501156016104,1482.5797512635836,1515.3774505767888,1502.0099019597128,1356.6979882609303,1998.7923432376392,1872.8872601896674,2141.5429253976054,2210.0651681788477,1890.0647458503045,1976.5210426578287,2819.5418641828164,4723.450891901373
-3.637978807091713e-12,0.0,1.8189894035458565e-12,-3.637978807091713e-12,1.0913936421275139e-11,-7.275957614183426e-12,-9.094947017729282e-12,201.36400345494985,3.637978807091713e-12,3.637978807091713e-12,302.5198197671798,441.94239915190883,97.14788913074881,819.4612361473901,438.5379167035335,567.4948755395853,1805.9841479648367,2130.277520308804,1145.8517515096719,1481.5123512678638,1208.6244862815292,1341.367863445419,1396.3111183143974,1893.1813187568787,1662.4179382186157,1729.0103369648423,1997.3678286887698,1540.2277050974953,1932.5861420560032,2529.2711554166126,1871.881503658151,2498.118536435315,3019.9619942338923,4727.455421232278
3.637978807091713e-12,3.637978807091713e-12,0.0,1.0913936421275139e-11,1.8189894035458565e-11,3.637978807091713e-12,5.4569682106375694e-12,7.275957614183426e-12,-1.4551915228366852e-11,-1.4551915228366852e-11,397.4743036874497,103.73530586306151,574.8168676721016,783.0171294156571,265.87645499527025,712.5837195442218,1022.9575777665232,865.4438376256858,1357.4582080828914,566.8653870222715,1321.273320046068,1588.3732050475755,1343.6389408168889,1904.3645153867674,1647.3044467517757,2328.416046340142,1293.0121064207215,2043.3443959355645,1746.5753633131444,2252.544876321632,2115.7387200575067,2835.865841740151,2986.424020652201,4735.0917320519475
-3.637978807091713e-12,-7.275957614183426e-12,0.0,-1.8189894035458565e-11,0.0,-1.8189894035458565e-12,-5.4569682106375694e-12,46.91996727388687,286.491588303139,180.45673898599853,-5.4569682106375694e-12,560.3993120785617,587.7908329271249,718.5202811026356,1351.1207659272586,641.396333609533,1721.3382131104845,1576.4083183887014,2153.6090268983535,979.8137130796731,1341.9276146695265,1578.7592610227166,1667.0870344868526,1833.4187593061688,1624.4756774129073,2067.2608798005094,2413.481793126085,1796.6671342619884,1683.1424842470951,1790.906096331315,2306.739105114011,2185.9667809196744,2930.4552619433744,4373.119146814724
